iter	Passed	Remaining
400	17384	4291
401	17430	4249
402	17474	4206
403	17519	4162
404	17562	4119
405	17605	4076
406	17650	4033
407	17694	3989
408	17734	3945
409	17780	3903
410	17820	3859
411	17866	3816
412	17906	3772
413	17950	3728
414	18002	3687
415	18049	3644
416	18092	3601
417	18138	3558
418	18174	3513
419	18221	3470
420	18254	3425
421	18295	3381
422	18338	3338
423	18380	3294
424	18423	3251
425	18463	3207
426	18502	3163
427	18542	3119
428	18588	3076
429	18630	3032
430	18673	2989
431	18709	2944
432	18752	2901
433	18792	2857
434	18834	2814
435	18880	2771
436	18922	2727
437	18964	2684
438	19021	2643
439	19063	2599
440	19104	2555
441	19148	2512
442	19187	2468
443	19222	2424
444	19262	2380
445	19305	2337
446	19336	2292
447	19378	2249
448	19422	2206
449	19467	2163
450	19500	2118
451	19537	2074
452	19572	2030
453	19617	1987
454	19656	1944
455	19694	1900
456	19736	1857
457	19778	1813
458	19822	1770
459	19868	1727
460	19931	1686
461	19974	1642
462	20025	1600
463	20068	1557
464	20111	1513
465	20155	1470
466	20196	1427
467	20245	1384
468	20291	1341
469	20334	1297
470	20378	1254
471	20423	1211
472	20467	1168
473	20509	1124
474	20551	1081
475	20591	1038
476	20634	994
477	20677	951
478	20721	908
479	20765	865
480	20810	822
481	20853	778
482	20893	735
483	20934	692
484	20983	648
485	21027	605
486	21071	562
487	21112	519
488	21153	475
489	21186	432
490	21227	389
491	21268	345
492	21310	302
493	21347	259
494	21386	216
495	21433	172
496	21475	129
497	21518	86
498	21563	43
499	21605	0
