iter	RMSE
194	694.0503246
195	693.6459295
196	693.2900861
197	692.9944816
198	692.6813338
199	692.0687727
200	691.7460751
201	691.5121898
202	691.0133522
203	690.5588378
204	690.0343089
205	689.6921687
206	689.3078306
207	689.0732465
208	688.8734302
209	688.3350684
210	687.8429555
211	687.6527041
212	687.1542395
213	686.6340085
214	686.3453566
215	685.9850177
216	685.6097069
217	685.1026596
218	684.5082268
219	684.3466678
220	684.1137605
221	683.9757721
222	683.6656212
223	683.2680887
224	682.7300204
225	682.1083895
226	681.8804477
227	681.5979209
228	681.2191466
229	680.7841201
230	680.4937053
231	680.3222856
232	679.7887811
233	679.2661922
234	678.7237306
235	678.2564905
236	678.1021845
237	677.5721282
238	677.0744625
239	676.7449795
240	676.7445073
241	676.0963475
242	675.5629679
243	675.4083681
244	674.8841663
245	674.3656911
246	673.9117872
247	673.6015528
248	673.2019177
249	672.7093214
250	672.4995897
251	672.1369129
252	671.933917
253	671.6881051
254	671.3586562
255	671.1238097
256	670.9281999
257	670.4948298
258	669.9711859
259	669.7056979
260	669.6528046
261	669.288666
262	669.0595048
263	668.8507539
264	668.5240216
265	668.2667389
266	667.828199
267	667.4499105
268	667.0738535
269	666.8905475
270	666.7015326
271	666.1792248
272	665.7679351
273	665.5622099
274	665.1219794
275	664.8701853
276	664.4318563
277	664.1946466
278	663.7729239
279	663.6017042
280	663.1954232
281	662.8214431
282	662.8212515
283	662.5251189
284	662.2298147
285	661.8845657
286	661.6448165
287	661.3127016
288	661.0400919
289	660.6468142
290	660.3168989
291	660.0489878
292	659.741209
293	659.5494296
294	659.1409236
295	658.8154242
296	658.1800603
297	657.6708412
298	657.3565878
299	657.1765303
300	656.8819529
301	656.5478742
302	656.2912107
303	656.1141462
304	655.8046076
305	655.631886
306	655.424568
307	654.8950775
308	654.4333943
309	653.8280072
310	653.4115771
311	652.97979
312	652.6275351
313	652.5551708
314	652.4664313
315	652.3730874
316	652.0147714
317	651.7959047
318	651.709118
319	651.5245849
320	651.2030482
321	650.8353395
322	650.4861869
323	650.204274
324	649.8096571
325	649.6758474
326	649.5957298
327	649.2925235
328	649.0845701
329	648.540811
330	648.3783451
331	648.0914839
332	647.7174867
333	647.4620037
334	647.3051966
335	647.0207326
336	646.653509
337	646.5806566
338	646.3754342
339	646.1914187
340	646.0223444
341	645.5814489
342	644.9328213
343	644.8974059
344	644.7403715
345	644.5715546
346	644.1372796
347	643.9765037
348	643.6078533
349	643.4938747
350	643.3288479
351	642.8948236
352	642.6781578
353	642.409742
354	642.0511799
355	641.8979102
356	641.489076
357	641.0855317
358	640.7543007
359	640.6184311
360	640.2520913
361	640.056506
362	639.9943939
363	639.8804176
364	639.7141355
365	639.3675576
366	639.2717713
367	638.959519
368	638.7054463
369	638.3954159
370	638.2473802
371	638.1212183
372	637.8330702
373	637.8205705
374	637.7639837
375	637.5548733
376	637.2087786
377	636.8411255
378	636.7079928
379	636.2785855
380	636.0998107
381	635.7861456
382	635.6321832
383	635.1076385
384	635.0394899
385	634.7564604
386	634.4298236
387	634.2363877
388	633.8464494
389	633.6238479
390	633.3962704
391	633.1026642
392	632.882374
393	632.7701836
394	632.652869
395	632.2950798
396	631.9732983
397	631.5958803
398	631.4172642
399	631.0390051
400	630.9630728
401	630.9088791
402	630.8105107
403	630.4793212
404	630.3536498
405	630.0443737
406	629.637949
407	629.3654969
408	629.1813073
409	628.9686548
410	628.9365118
411	628.7082542
412	628.3988958
413	628.1217368
414	627.8332977
415	627.591031
416	627.3358051
417	627.2727851
418	627.2489155
419	626.681569
420	626.5866758
421	626.3444841
422	626.172333
423	625.9125229
424	625.6752776
425	625.4351804
426	625.3301353
427	624.8170822
428	624.4339103
429	624.2045434
430	624.0371909
431	624.0146756
432	623.7252944
433	623.5807418
434	623.4717531
435	623.2712816
436	623.0165053
437	622.9952745
438	622.7737008
439	622.5548417
440	622.0617278
441	621.7254995
442	621.6114789
443	621.3769908
444	621.1298045
445	620.8969484
446	620.7251287
447	620.6573188
448	620.4714012
449	620.1652947
450	620.0684433
451	619.9703211
452	619.7787971
453	619.5835154
454	619.1494268
455	618.7997697
456	618.5789622
457	618.3015537
458	618.1486889
459	617.987744
460	617.6946252
461	617.2746874
462	616.9834977
463	616.725696
464	616.5436543
465	616.4502357
466	616.1491794
467	615.9707681
468	615.8278721
469	615.5318211
470	615.3925445
471	615.3203218
472	615.1076122
473	614.8605689
474	614.8111108
475	614.5793397
476	614.4473375
477	614.2684695
478	614.0178627
479	613.8195872
480	613.5425982
481	613.360295
482	613.1844001
483	612.953199
484	612.6553771
485	612.5004685
486	612.3994117
487	612.3466226
488	612.2451912
489	612.1087673
490	612.0202328
491	611.9185967
492	611.6394748
493	611.2622943
494	611.0067583
495	610.9174869
496	610.6414696
497	610.5489583
498	610.3102657
499	609.8685467
